"canonicalId","name","description","module","path","install_to_spectra"
"spectra-init","spectra-init","Initialize SPECTRA project configuration and load config variables. Use when any skill needs module-specific configuration values, or when setting up a new SPECTRA project.","core","_spectra/core/spectra-init/SKILL.md","true"
"spectra-help","spectra-help","Analyzes current state and user query to answer SPECTRA questions or recommend the next skill(s) to use. Use when user asks for help, spectra help, what to do next, or what to start with.","core","_spectra/core/spectra-help/SKILL.md","true"
"spectra-war-room","spectra-war-room","Multi-agent adversarial debate. Use when the user says ""war room"" or wants Red vs Blue discussion on a security topic.","core","_spectra/core/spectra-war-room/SKILL.md","true"
"spectra-debrief","spectra-debrief","Post-engagement or post-exercise review and lessons learned. Use when the user says ""debrief"" or ""lessons learned"" or ""post-mortem"".","core","_spectra/core/spectra-debrief/SKILL.md","true"
"spectra-new-engagement","spectra-new-engagement","Create a new security engagement with scope, rules of engagement, and authorization context. Use when starting a new pentest, assessment, or exercise.","core","_spectra/core/spectra-new-engagement/SKILL.md","true"
"spectra-scope-check","spectra-scope-check","Verify that a target or action is within the current engagement scope. Use before any offensive action.","core","_spectra/core/spectra-scope-check/SKILL.md","true"
"spectra-close-engagement","spectra-close-engagement","Close and archive a completed engagement with final reporting and evidence packaging.","core","_spectra/core/spectra-close-engagement/SKILL.md","true"
"spectra-report-generator","spectra-report-generator","Generate standardized security reports — pentest, incident, compliance, executive brief.","core","_spectra/core/spectra-report-generator/SKILL.md","true"
"spectra-evidence-chain","spectra-evidence-chain","Manage chain of custody for digital evidence. Track acquisition, storage, and transfer.","core","_spectra/core/spectra-evidence-chain/SKILL.md","true"
"spectra-executive-brief","spectra-executive-brief","Generate C-level executive summary from engagement findings.","core","_spectra/core/spectra-executive-brief/SKILL.md","true"
"spectra-agent-specter","spectra-agent-specter","CISO and Quick Ops Solo Analyst. Use when the user asks to talk to Specter or needs cross-domain rapid assessment.","core","_spectra/core/spectra-agent-specter/SKILL.md","true"
